company,date,work_type,job,question,answer
서울특별시50플러스재단,2022년 하반기,신입,인사담당자,해당 직무에 본인이 적합하다고 판단하는 이유를 업무 경력/역량 관점에서 구체적으로 기술하시오.,"
가장 중요하게 생각하는 것은 ""책임감""입니다. 지금까지 제가 맡은 일은 투철한 책임감을 느끼고 완벽하게 해냈습니다. 어릴 적부터 생각을 많이 하였습니다. 무엇을 결정해야 할 때면 항상 신중히 생각하여 결정하고 있습니다. 세밀하게 두 번 이상 점검하는 습관을 지니고 있습니다. 꼼꼼한 일 처리로 동료에게 신뢰 받고 있습니다. 주어진 업무를 완벽하게 하려고 항상 메모하는 습관을 갖고 있습니다. 원하는 것은 꼭 해야 하는 성격이기에 포기한 적은 없습니다. 끝내 해내었습니다. 사람들은 저를 보면 유쾌하다고 합니다. 긍정적인 성격으로 항상 즐겁게 생활하기 때문입니다. 주위 사람들은 이런 저의 성격 때문에 업무 문제나 인생 문제를 많이 상담하기도 합니다. 남의 이야기를 들어주는 게 전 즐겁습니다. 사람들의 이야기를 들어주다 보면 고민이 해결되기도 하고, 기분이 좋아지기도 합니다. 낙천적인 저의 장점은 긍정적으로 생각하게 하고 즐겁게 모든 일을 할 수 있게 합니다.                         
"
서울특별시50플러스재단,2022년 하반기,신입,인사담당자,해당 직무분야의 전문성을 쌓기 위한 노력과 활동을 구체적으로 기술하시오.,"
속도보다 중요한 것은 방향이라고 생각합니다. ""기회는 준비하는 자의 몫""이라는 말이 있듯이 자신의 이상과 꿈의 실현을 위한 기회를 잡기 위해서 지금까지 꾸준한 노력을 해왔습니다. 특히 자신에게 주어진 일에서는 기본적으로 성실함과 근면함으로 생활해 왔으며 학업과 다양한 사회 경험을 통해 전문가가 되기 위해 자기 계발에 적극적인 노력을 해왔습니다. 홍보와 마케팅 업무를 담당하였습니다. 그리고 여러 박람회와 행사에도 참여하였습니다. 행정지원 업무를 하며 문서관리와 다양한 내부 자산도 관리하였습니다. 인적자원들에 대한 관리와 교육 운영을 담당하였고 여러 기업과도 소통하였습니다. 기업에 대한 데이터와 여러 불만 사항 들을 듣고 바로 응답하고 여러 가지 일정과 비용들을 조정하였습니다. 취업을 준비하면서 어려움을 많이 느꼈습니다. 취업을 원하는 구직자들이 저와 같이 어려움을 느낄 것으로 생각이 들었습니다. 그들에게 도움을 주면서 저도 직업적인 목표를 이루고자 하는 생각을 하였습니다. 사람들의 고민을 들어주고 함께 해결해나가는 사람이 되고 싶습니다. 세무회계 자격증을 취득하기 위해 노력하였습니다. 세무 업무는 암기사항이 많고 항상 세법이 변하기 때문에 상당히 어려운 공부였습니다. 하지만 여러 사례를 찾아 학습하였습니다. 그 결과 전산회계, 전산세무 자격증을 취득하였습니다. 속도보다 중요한 것은 방향이라고 생각합니다. ""기회는 준비하는 자의 몫""이라는 말이 있듯이 자신의 이상과 꿈의 실현을 위한 기회를 잡기 위해서 지금까지 꾸준한 노력을 해왔습니다. 특히 자신에게 주어진 일에서는 기본적으로 성실함과 근면함으로 생활해 왔으며 학업과 다양한 사회 경험을 통해 전문가가 되기 위하여 자기 계발에 적극적인 노력을 해왔습니다.                         
"
서울특별시50플러스재단,2022년 하반기,신입,인사담당자,직무수행계획서,"
업무를 수행하며 양심과 도덕성은 중요하다고 생각합니다. 공정하고 투명한 업무를 통해 참여자와 기관 모두 신뢰할 수 있도록 하겠습니다. 그 어떤 가치보다 윤리적인 책임과 의무를 중요시하며 그것을 지키기를 소홀히 하지 않겠습니다. 그리고 자신이 맡은 일에 투철한 사명감과 책임감을 느끼고 일을 충실히 수행해야 한다고 생각합니다. 참여자들에게 서비스를 제공하는 사람으로서 무엇보다 고객 중심적인 가치관이 필요하다고 생각합니다. 참여자들의 삶이 더 나아질 수 있도록 깨끗하고 투명한 서비스 제공을 통해 더 신뢰할 수 있도록 하겠습니다. 그리고 거기에 그치지 않고 함께 즐겁고 행복한 삶을 영위할 수 있도록 더 가깝게 친절하게 다가갈 수 있는 사람이 되도록 항상 노력하겠습니다. 외부 고객뿐 아니라 내부 동료도 고객이라고 생각합니다. 그들에게도 좋은 서비스를 제공할 수 있도록 온 힘을 다할 것입니다. 특히 의사소통 능력을 갖추어 여러 고객과의 소통을 원활하게 해내겠습니다.                         
"
(주)현대케피코,2022년 상반기,인턴,인사담당자,"본인이 회사를 선택할 때 중요하게 생각하는 가치(기준)는 무엇이며, 왜 현대케피코가 그 가치(기준)에 적합한지 기술해 주시기 바랍니다. (최소 300자, 최대 700자 입력가능)","
회사를 선택함에 있어 중요하게 생각하는 가치는 ""10년 후의 위치"" 입니다. 회사와 함께 저의 역량 또한 성장 시키고 싶기 때문입니다. 현대케피코의 인사 업무는 누수 없는 인적 자원의 관리가 목표이기 때문에 입사하고 꾸준히 배워나가며 저의 역량을 성장 시킬 수 있는 업무입니다. 저는 직무의 원활한 수행을 위해 다양한 회사에서 활동한 대외활동과 해외직구 서비스 익스턴을 진행하면서 효율적으로 예산과 주변 상황을 활용하여 프로젝트를 수행하는 경험을 반복적으로 체득했습니다. 또한, 예산과 관련된 돌발 상황이 발생했을 때 이에 대한 대처 방안을 세우고 역량을 키워나갔습니다. 현대케피코에 입사한다면 저의 경험과 역량을 바탕으로 인사 및 노무 파트의 전문가로 성장하고 싶습니다. 특히 인사 업무 중 고객 응대 업무를 수행하는 데 있어 제가 쌓아온 팀 빌딩 경험과 돌발상황에 대한 대처 역량이 빛을 발할 것이라 생각됩니다. 제가 삶을 살아가는 원동력 또한 미래의 제 모습에서 나옵니다. 10년 후 제가 소속된 분야에서 최고가 되기 위해 업무에 투입되면서 현장에서 직접 부딪혀보고자 합니다. 제가 세운 목표를 모두 이룰 수 있었던 것은 목표를 세워 꾸준히 노력했기 때문입니다. 입사한 후에도 목표를 향한 꾸준한 노력으로 회사와 함께 나아갈 것이며 이를 위해 고객의 불편한 점을 최우선으로 생각하는 영업 종사자로서 책무를 다할 것입니다.                         
"
(주)현대케피코,2022년 상반기,인턴,인사담당자,"지원 직무 수행을 위해 준비한 사항에 대해 ①학습적 ②경험적 측면에서 구체적으로 기술해 주시기 바랍니다. (최소 300자, 최대 700자 입력가능)","
대학교 3학년때, OOOO 스타트업 익스턴십 프로그램에서 OOOOO 소속으로 해외직구 서비스의 기획 업무를 맡아 팀장으로 팀 빌딩을 수행한 경험이 있습니다. 저희 팀이 직면은 문제는 총 2가지였는데 50만원의 지원금으로 3개월 동안의 기획과 마케팅 활동에 충당해야 하는 것과, 동종 업계의 비교 대상이 없어 표본이 절대적으로 부족한 것이었습니다. 이러한 문제에 직면했을 때 저는 우선순위를 두어 일을 처리했습니다. 먼저, OOO OO서비스를 이용하면서 콘텐츠의 종류와 질 등의 자료를 수집했으며, 지인들에게 부탁한 설문조사로 부족한 표본을 보완해 나갔습니다. 이를 활용해 서비스 홍보 영상에 대한 시나리오 초안을 완성할 수 있었습니다. 예산 문제와 관련해서는 OOO OO 서비스에서만 판매하는 상품들을 영상 소품으로 활용하는 등 주변의 자원과 상황들을 최대한 활용했습니다. 이러한 과정에서 매끄러운 업무 처리를 위해 정확한 자료 수집과 상대의 니즈를 신속 정확하게 파악하는 것이 프로젝트에 있어 얼마나 중요하지 직접 체득할 수 있었습니다. 홍보 영상은 공식 SNS 계정에 업로드 되었으며, 이를 통해 한정된 자원으로도 주변의 자원과 상황을 활용해 문제를 타개할 수 있는 능력을 키웠습니다. 저의 자원 활용 및 유기적인 상황 대처 역량은 현대케피코의 전반적인 인사 업무에서 효율적으로 인적 자원을 활용하는 데 유용하게 쓰일 것입니다.                         
"
(주)현대케피코,2022년 상반기,인턴,인사담당자,"앞으로의 회사생활에서 가장 피하고 싶은 상황은 어떤 상황인가요? 또 그러한 상황을 마주하게 된다면 어떻게 행동하실건가요? (최소 300자, 최대 700자 입력가능)","
제가 생각하는 피하고 싶은 직장생활의 기준은 ‘구성원으로서 능동성을 발휘할 수 있는가’입니다. 조직의 구성원으로서 능동적이고 주체적으로 업무를 수행하는 것이 아닌 단순히 수동적으로 업무를 수행하며 변화를 바라지 않는 것으로 생각합니다. 대학생활 중 수많은 팀빌딩 활동의 팀장을 수행하면서 활동에 참여하는 팀원들의 극과 극의 태도를 보았습니다. 첫 팀 활동이었던 학습동아리에서 팀장을 맡았었지만 전공 학습에 관심이 많지 않았던 팀원들은 팀장인 저의 의견에 무조건적으로 수용만 하는 태도를 보였습니다. 그 후 대외활동으로 구성된 팀 빌딩 활동에서도 팀장을 맡았을 때는 서로가 적극적으로 의견을 개진하며 제작하는 콘텐츠에 살을 붙여나갔습니다. 이 경험을 통해 능동적으로 업무를 수행하는 것이 일의 효율이 더 높고 저 자신의 역량을 발전시킬 수 있다는 것을 알게 되었습니다. 조직의 구성원으로서 능동성을 발휘할 수 없다면 개인의 역량을 발전시키는 것에 한계가 있을 뿐만 아니라 조직의 성장과 변화에도 좋은 영향을 줄 수 없다고 생각합니다. 즉, 능동적이고 주체적으로 업무를 수행하며 조직의 성장에 이바지할 수 있는 것이 가장 이상적인 조직생활이라 생각합니다. 이러한 역량을 바탕으로 능동적으로 업무를 수행하며 저 자신이 발전함과 동시에 조직의 성장과 변화에 이바지할 수 있는 현대케피코의 인재가 되겠습니다.                         
"
건일제약(주),2022년 상반기,신입,인사담당자,지원동기,"
""변화의 ‘점’을 찍을 수 있는 곳"" 인생에서 경험이라는 점들은 결국 이어져 새로운 가능성을 만든다고 생각합니다. 제가 회사를 선택하는 기준은 이러한 변화의 ‘점’을 찍을 수 있는가 입니다. 이러한 관점에서 건일제약은 ‘삶의 질 개선에 공헌하는 Global제약기업’이라는 비전 아래 개량신약, 복합체 등 차별화 된 제품 연구개발에 매진하고 실제로 실제로 과감한 투자와 고객지향적 전략을 바탕으로 현재에 안주하지 않고 최근 글로벌 품질 경쟁력을 강화하기 위해 컨설팅 기술서비스 계약을 맺는 등 분야에서 시장을 형성하는 모습을 보았습니다.또한, 제가 가장 중요시 여기는 가치관인 “주도성, 냉정한 판단력, 주인의식, 경청하는 자세” 와 건일제약의 핵심가치와의 연계성을 발견했습니다. 끊임없는 혁신을 바탕으로 변화의 점을 찍고자 하는 전 직원의 고민과 분석의 흔적이 녹아있는 건일제약이 제가 가진 역량과의 시너지효과를 낼 수 있는 곳이라고 확신합니다.                         
"
건일제약(주),2022년 상반기,신입,인사담당자,성격의 장단점,"
""강점: 사람에 대한 관심, '인간스캐너' 가 되다"" 저는 사람의 스타일과 특징, 말투, 행동을 활용해 처음 본 사람을 기억하는 습관을 갖고 있습니다. 사람을 처음 대면할 때 건네는 것이 ‘명함’ 이듯이 관계를 맺을 때 그 사람을 먼저 기억하는 것이 예의라고 생각했습니다. 저의 이러한 습관은 사회활동에서 긍정적인 관계를 형성하는데 영향을 미쳤습니다. 특히 인사업무를 함에 있어서 사람에 대한 관심은 필수라고 생각합니다. 관심과 관찰력을 업무에 적용하여 문제 상황을 빠르게 판단하고 적절하게 대처할 수 있도록 하겠습니다. ""단점: 디테일과 꼼꼼함이 낳은 맹점"" 단점은 너무 꼼꼼하고 다소 사소한 부분에 집중하는 경향이 있는 것이 단점이라고 생각합니다. 지나치게 꼼꼼한 성격은 제한된 시간 내에 팀 작업을 할 때 혹은 업무 특성상 정확도보다는 빠르게 결과물을 산출하는 것이 중요한 업무를 수행할 때 오히려 생산성을 떨어뜨리는 보틀넥이 될 수 있다고 생각했고 그렇게 경험했습니다. 이를 보완할 수 있는 방법으로 첫 번째, 업무의 내용과 데드라인을 감안해서 업무성격을 구분하고 우선순위를 정합니다. 두 번째, 팀 작업시 팀원들과 어느 정도까지 검토할지 그 수준을 정하는 소통을 먼저 해서 기한 내에 업무목적을 달성하는 데에 초점을 두었습니다. 입사하게 된다면 유관부서와의 전반적인 업무 프로세스를 파악하고 거시적인 안목으로 업무에 착수할 수 있도록 하겠습니다.                         
"
건일제약(주),2022년 상반기,신입,인사담당자,입사 후 포부,"
""Master of HR이 되기 위한 로드맵"" 1~2년 차: ‘믿음’을 전하는 사람먼저 입사 후 2년 이내에 인사팀에서 탄탄히 쌓은 이론과 실무를 바탕으로 인사 업무에 관한 이해도를 높여 임직원들의 믿음직한 인사담당자가 되겠습니다. 기업 내 다양한 이슈, 인력운영계획, 급여제도, 복리후생 등 전반적인 상황들을 빠르게 파악하고 분석하여 효율적인 업무처리 능력을 보여드려 ‘OOO’이라는 이름 석자만으로 믿고 맡길 수 있는 사원이 되겠습니다.  3~5년 차： ‘실천’ 하는 사람입사 3~5년 차에는 다년간 터득한 Know-How를 바탕으로 저만의 아카이브를 만들고 이를 공유해 팀 전체의 경쟁력을 먼저 높이도록 하겠습니다. 또한, 임직원분들에게 더 좋은 업무 환경을 제공할 수 있는 프로세스를 개선해 내겠습니다. 실천력을 바탕으로 후배들에게는 존경을, 유관부서 인원들에게는 믿음을 주는 사람이 되겠습니다.                         
"
능원금속공업(주),2022년 상반기,신입,인사담당자,입사 후 포부에 대해서 기술하시오.,"
입사 후, 저는 총무 직무자로서 능원금속공업에서의 경영지원 전문가가 되어 품질 향상과 더불어 원가절감을 목표로 하여 기업의 생산성 증대에 기여하고 싶습니다. 기존 사업 경쟁력을 강화하고 기업의 역량을 집중하여 질적 성장을 꾀하고 있는 능원금속공업의 성장은 더욱 주목되는 부분이며, 총무 분야에서 경영지원 전문가가 되어 품질 향상과 더불어 원가절감을 목표로 하여 기업의 생산성 증대에 이바지한다는 목표 달성에 기여하는 것이 저의 목표입니다. 능원금속공업은 빠르게 변화하는 경영 환경에 신속하게 대응하여 창조적인 인재를 육성하고 최종적으로는 고객 만족과 감동을 추구하여 세계 시장을 선도한다는 동관 생산기업이 되겠다는 장기 비전을 가지고 있고 저의 장기적인 목표를 달성했을 때 비로소 능원금속공업의 꿈도 한 발짝 더 다가갈 수 있다고 생각했기 때문입니다. 비전 달성을 위해 무엇보다 총무 실무 직무의 다양한 업무를 수행하며 역량을 쌓아야 한다고 생각합니다. 첫째로, 경영지원 담당자 직무에서 기업 자산을 관리하거나 경영 지원과 관련된 기본 업무 프로세스를 익히고 실행하며 선배님들의 지식과 경험들을 흡수하여 빠르게 실무에 투입될 수 있도록 집중에 노력을 기하여 해당 직무 능력을 쌓을 수 있도록 하겠습니다. 팀원들을 도와 본사의 비품과 같은 자산을 관리하고 구매 업무나 거래처 관리 등 경영 지원 관련 업무를 성실히 수행해나가고, 주마다 업무 일지를 작성하여 보완해야 할 점들을 참고해 기록하겠습니다. 이를 바탕으로 선배들의 피드백을 참고하여 부족한 점과 개선해야 할 점을 파악해 월별로 정량적 실적 향상에 어느 정도의 영향을 끼쳤는지 객관적으로 분석하고 이를 보완하고 업무 완성도를 증진 시킬 수 있도록 하겠습니다. 둘째로, 회사 내 중요 행사를 기획하고 추진하여 이에 대한 체계적인 구성을 바탕으로 경영지원 업무 수행에 이바지하여 분석력이나 실행력과 관련된 역량을 강화하겠습니다. 또한, 자산 프로그램을 관리하거나 관련 보고서 및 발표자료를 작성하여 전문성을 키우며 커뮤니케이션에 대한 역량을 강화하여 통찰력 있는 경영지원 담당자로 거듭나 빠르게 변화하는 경영 환경에 신속하게 대응하여 창조적인 인재를 육성하고 최종적으로는 고객 만족과 감동을 추구하여 세계 시장을 선도한다는 동관 생산기업이 된다는 목표달성에 이바지하겠습니다.                         
"
